Zeit;Kanal A
(ms);(V)

-5,00007265;0,70973796
-4,99996865;0,70973796
-4,99986465;0,70973796
-4,99976065;0,80447221
-4,99965665;0,66252458
-4,99955265;0,70973796
-4,99944865;0,66252458
-4,99934465;0,70973796
-4,99924065;0,70973796
-4,99913665;0,70973796
-4,99903265;0,70973796
-4,99892865;0,70973796
-4,99882465;0,70973796
-4,99872065;0,70973796
-4,99861665;0,70973796
-4,99851265;0,70973796
-4,99840865;0,66252458
-4,99830465;0,70973796
-4,99820065;0,70973796
-4,99809665;0,70973796
-4,99799265;0,70973796
-4,99788865;0,70973796
-4,99778465;0,70973796
-4,99768065;0,75710505
-4,99757665;0,70973796
-4,99747265;0,70973796
-4,99736865;0,70973796
-4,99726465;0,66252458
-4,99716065;0,70973796
-4,99705665;0,70973796
-4,99695265;0,70973796
-4,99684865;0,66252458
-4,99674465;0,70973796
-4,99664065;0,70973796
-4,99653665;0,70973796
-4,99643265;0,70973796
-4,99632865;0,70973796
-4,99622465;0,70973796
-4,99612065;0,70973796
-4,99601665;0,70973796
-4,99591265;0,70973796
-4,99580865;0,70973796
-4,99570465;0,70973796
-4,99560065;0,70973796
-4,99549665;0,70973796
-4,99539265;0,66252458
-4,99528865;0,70973796
-4,99518465;0,66252458
-4,99508065;0,70973796
-4,99497665;0,70973796
-4,99487265;0,75710505
-4,99476865;0,70973796
-4,99466465;0,70973796
-4,99456065;0,66252458
-4,99445665;0,70973796
-4,99435265;0,70973796
-4,99424865;0,70973796
-4,99414465;0,66252458
-4,99404065;0,70973796
-4,99393665;0,70973796
-4,99383265;0,70973796
-4,99372865;0,70973796
-4,99362465;0,70973796
-4,99352065;0,70973796
-4,99341665;0,70973796
-4,99331265;0,66252458
-4,99320865;0,70973796
-4,99310465;0,70973796
-4,99300065;0,70973796
-4,99289665;0,70973796
-4,99279265;0,70973796
-4,99268865;0,70973796
-4,99258465;0,70973796
-4,99248065;0,70973796
-4,99237665;0,70973796
-4,99227265;0,70973796
-4,99216865;0,70973796
-4,99206465;0,70973796
-4,99196065;0,70973796
-4,99185665;0,70973796
-4,99175265;0,70973796
-4,99164865;0,70973796
-4,99154465;0,70973796
-4,99144065;0,70973796
-4,99133665;0,70973796
-4,99123265;0,66252458
-4,99112865;0,70973796
-4,99102465;0,70973796
-4,99092065;0,70973796
-4,99081665;0,66252458
-4,99071265;0,70973796
-4,99060865;0,70973796
-4,99050465;0,70973796
-4,99040065;0,70973796
-4,99029665;0,66252458
-4,99019265;0,70973796
-4,99008865;0,70973796
-4,98998465;0,66252458
-4,98988065;0,70973796
-4,98977665;0,66252458
-4,98967265;0,70973796
-4,98956865;0,66252458
-4,98946465;0,70973796
-4,98936065;0,70973796
-4,98925665;0,70973796
-4,98915265;0,70973796
-4,98904865;0,70973796
-4,98894465;0,66252458
-4,98884065;0,70973796
-4,98873665;0,66252458
-4,98863265;0,66252458
-4,98852865;0,70973796
-4,98842465;0,70973796
-4,98832065;0,70973796
-4,98821665;0,70973796
-4,98811265;0,66252458
-4,98800865;0,70973796
-4,98790465;0,70973796
